DATASET,ALGORITHM,TIME(ms),DFS_VISITS,EDGE_CHECKS,QUEUE_OPS,RELAXATIONS
TarjanSCC,0,125,7,6,0,0
small_1,Tarjan_SCC,0,125,7,6,0,0
small_1,Kahn_Topological_Sort,0,089,0,3,8,0
small_1,DAG_Shortest_Path,0,032,0,0,0,3
small_1,DAG_Longest_Path,0,059,0,0,0,3
TarjanSCC,0,030,6,6,0,0
small_2,Tarjan_SCC,0,030,6,6,0,0
small_2,Kahn_Topological_Sort,0,059,0,6,11,0
small_2,DAG_Shortest_Path,0,013,0,0,0,6
small_2,DAG_Longest_Path,0,064,0,0,0,6
TarjanSCC,0,047,8,7,0,0
small_3,Tarjan_SCC,0,047,8,7,0,0
small_3,Kahn_Topological_Sort,0,029,0,1,5,0
small_3,DAG_Shortest_Path,0,010,0,0,0,1
small_3,DAG_Longest_Path,0,014,0,0,0,1
TarjanSCC,0,030,9,7,0,0
small_4,Tarjan_SCC,0,030,9,7,0,0
small_4,Kahn_Topological_Sort,0,038,0,4,11,0
small_4,DAG_Shortest_Path,0,012,0,0,0,3
small_4,DAG_Longest_Path,0,014,0,0,0,3
TarjanSCC,0,041,10,8,0,0
small_5,Tarjan_SCC,0,041,10,8,0,0
small_5,Kahn_Topological_Sort,0,056,0,5,13,0
small_5,DAG_Shortest_Path,0,014,0,0,0,3
small_5,DAG_Longest_Path,0,017,0,0,0,3
TarjanSCC,0,092,12,11,0,0
medium_1,Tarjan_SCC,0,092,12,11,0,0
medium_1,Kahn_Topological_Sort,0,044,0,5,13,0
medium_1,DAG_Shortest_Path,0,011,0,0,0,5
medium_1,DAG_Longest_Path,0,018,0,0,0,5
TarjanSCC,0,071,15,15,0,0
medium_2,Tarjan_SCC,0,071,15,15,0,0
medium_2,Kahn_Topological_Sort,0,075,0,15,29,0
medium_2,DAG_Shortest_Path,0,036,0,0,0,15
medium_2,DAG_Longest_Path,0,028,0,0,0,15
TarjanSCC,0,078,16,15,0,0
medium_3,Tarjan_SCC,0,078,16,15,0,0
medium_3,Kahn_Topological_Sort,0,053,0,8,19,0
medium_3,DAG_Shortest_Path,0,016,0,0,0,8
medium_3,DAG_Longest_Path,0,043,0,0,0,8
TarjanSCC,0,130,18,16,0,0
medium_4,Tarjan_SCC,0,130,18,16,0,0
medium_4,Kahn_Topological_Sort,0,111,0,13,29,0
medium_4,DAG_Shortest_Path,0,025,0,0,0,4
medium_4,DAG_Longest_Path,0,031,0,0,0,4
TarjanSCC,0,064,20,17,0,0
medium_5,Tarjan_SCC,0,064,20,17,0,0
medium_5,Kahn_Topological_Sort,0,041,0,14,32,0
medium_5,DAG_Shortest_Path,0,010,0,0,0,3
medium_5,DAG_Longest_Path,0,019,0,0,0,3
TarjanSCC,0,061,25,24,0,0
large_1,Tarjan_SCC,0,061,25,24,0,0
large_1,Kahn_Topological_Sort,0,079,0,24,49,0
large_1,DAG_Shortest_Path,0,020,0,0,0,24
large_1,DAG_Longest_Path,0,026,0,0,0,24
TarjanSCC,0,092,30,25,0,0
large_2,Tarjan_SCC,0,092,30,25,0,0
large_2,Kahn_Topological_Sort,0,113,0,25,55,0
large_2,DAG_Shortest_Path,0,021,0,0,0,25
large_2,DAG_Longest_Path,0,030,0,0,0,25
TarjanSCC,0,071,35,10,0,0
large_3,Tarjan_SCC,0,071,35,10,0,0
large_3,Kahn_Topological_Sort,0,063,0,10,45,0
large_3,DAG_Shortest_Path,0,015,0,0,0,10
large_3,DAG_Longest_Path,0,035,0,0,0,10
TarjanSCC,0,265,40,13,0,0
large_4,Tarjan_SCC,0,265,40,13,0,0
large_4,Kahn_Topological_Sort,0,081,0,13,53,0
large_4,DAG_Shortest_Path,0,018,0,0,0,13
large_4,DAG_Longest_Path,0,038,0,0,0,13
